Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;1.26292;0.0108545676113137;1.89173469387755;0.0184060989097399;1.04930612244898;0.0139329490490533;1.26397959183674;0.0112317571376167;0.497905404837638;-0.169142841629732;0.000839001549373574;3.44466;0.0865082326795784;8.01734693877551;1.18197404644486;3.88473469387755;0.147673469560506;2.52355102040816;0.0512161795228372;1.32747119854369;0.127755625773676;-0.267402001820742
crypto.aes;1.44152;0.0177792882318349;2.2619387755102;0.0233966370939307;1.14244897959184;0.0109273174348668;1.42442;0.0143345843048943;0.569134507679536;-0.207469213336036;-0.0118624784949216;3.67822;0.0877319428952841;8.52036734693878;0.647631247906125;4.15189795918367;0.0664675007420183;3.36006;0.0752582607577244;1.31643766466899;0.128779126638339;-0.0864983606200828
crypto.rsa;1.53734;0.0157680637575008;1.94579591836735;0.0204931264970021;1.08847916666667;0.0174101314108113;1.51178;0.0179678851865205;0.265690034974271;-0.29197238953864;-0.0166261204418022;10.05556;0.406220668013119;10.9210612244898;0.37465594605592;5.936625;0.233085750896639;6.2267;0.158571858872343;0.0860719069340545;-0.409617664257386;-0.380770439438479
crypto.signverify;1.6153;0.0196896729365494;2.108875;0.0293985871944176;1.12320833333333;0.0152686430725672;1.59364;0.0220960614872066;0.305562434222745;-0.304644132152954;-0.0134092738191048;5.20316;0.0994307510673237;13.4764791666667;0.373737053076456;7.94558333333333;0.179787107735132;5.9046;0.0938214596565208;1.59005665147077;0.527068806904522;0.134810384458675
derby;4.74076;0.0690824843818914;6.23536363636364;0.314859219066722;3.02974418604651;0.0489198456895807;4.2210612244898;0.0454984710255155;0.315266673774592;-0.36091593203484;-0.109623515113654;28.7449;0.515760021170682;25.0269772727273;0.452108668078242;18.8216511627907;0.544967651966252;19.6547551020408;0.441170467378644;-0.129341995528693;-0.345217719915856;-0.31623505032055
mpegaudio;2.11062;0.0553853140470561;2.0929;0.016405358652149;1.08414;0.0153045778238779;1.99304081632653;0.0606937886602018;-0.00839563730088798;-0.486340506581005;-0.0557083623169829;16.69758;0.327551897397839;19.72182;0.81981248433455;13.15532;0.71696292606043;16.9088367346939;0.633944784280929;0.181118461477652;-0.212142118798054;0.0126519372683872
scimark.fft.large;1.21962;0.0129205976593465;2.48277083333333;0.0666311406952182;1.04392;0.00902221045217472;1.21378;0.00838580551923876;1.0356921281492;-0.144061264984176;-0.00478837670749911;2.40838;0.0830571732015111;3.39722916666667;0.0596145346808172;2.56246;0.03691600906772;2.24722;0.0337376790193189;0.410586853680344;0.0639766149860072;-0.066916350409819
scimark.fft.small;1.2493;0.0113622541427637;1.86002;0.0169878427495538;1.01428;0.00868774228598293;1.2186;0.00896266693659256;0.488849755863283;-0.188121347954855;-0.0245737613063317;2.61162;0.0677983540531817;5.75926;0.102542776736106;3.33616;0.0604899071316142;2.30788;0.0326694290065376;1.20524425452401;0.277429335048744;-0.116303290677817
scimark.lu.large;1.24684;0.034043993588937;1.6704;0.0765054987621736;1.10414285714286;0.0125939978199292;1.2424;0.0129283913143054;0.339706778736646;-0.114447036393718;-0.00356100221359579;3.2214;0.11824815540899;3.98736;0.310917980251225;2.86285714285714;0.0834223479299945;3.05366;0.0721255244186532;0.23777239709443;-0.111300321954075;-0.0520705283417147
scimark.lu.small;1.26294;0.0104282236164419;1.7451;0.0150563859677851;0.95846;0.0100974943522376;1.1985306122449;0.00828323579256473;0.381775856335217;-0.241088254390549;-0.0509995627306938;2.85882;0.0741018812393114;7.05484;0.134793068799688;4.24414;0.106243198977314;2.60587755102041;0.0547901463874099;1.46774543343058;0.484577552976403;-0.0884779206034632
scimark.monte_carlo;1.2037;0.0109195810925795;2.36606;0.168654271443794;1.0204;0.0144804432073734;1.21396;0.0182615822658687;0.965655894325828;-0.152280468555288;0.00852371853451777;2.45688;0.0778417091925656;5.5062;0.178832297391794;2.93844;0.0523464781413179;2.63622;0.0437961071084072;1.24113509817329;0.196004688873693;0.0729950180717006
scimark.sor.large;1.22038;0.0141588149574372;1.9089375;0.0153645023782667;1.05622;0.00925158382831766;1.1988;0.0101394888843546;0.564215654140514;-0.134515478785296;-0.0176830167652696;2.44048;0.088328131879681;3.36879166666667;0.0496563477004928;2.41322;0.0433130534011586;2.35452;0.0431260590550933;0.380380772088551;-0.011169933783518;-0.0352225791647547
scimark.sor.small;1.23388;0.0101701088654481;1.8774;0.019916304027052;0.998428571428571;0.0116066282528515;1.19446;0.0106564671986098;0.521541803092683;-0.19082198315187;-0.0319480014263955;2.60696;0.0912893689481048;5.09466;0.101391988809413;2.79610204081633;0.0481945095160395;2.24022;0.0389384739844929;0.954253229815571;0.072552720723113;-0.140677263939608
scimark.sparse.large;1.2169;0.0129234498839397;1.88391836734694;0.01615511366326;1.05404;0.0109477289063867;1.208;0.00937067184186838;0.548129153872084;-0.133831867860959;-0.00731366587229857;2.41406;0.0581412049907965;2.86512244897959;0.0701299378921631;2.13474;0.0394644261553705;2.1378;0.0337440645202415;0.18684806880508;-0.115705491992743;-0.11443791786451
scimark.sparse.small;1.22224;0.0124845513295522;1.87183673469388;0.0166997698244473;1.0004;0.00806838826872942;1.2140625;0.00986155435187081;0.531480506851255;-0.181502814504516;-0.00669058450058904;2.66946;0.0759289583722491;4.6950612244898;0.0822557734391498;2.81888;0.0360676062630364;2.39639583333333;0.0424560859649876;0.758805610306877;0.0559738673739258;-0.102291911722471
serial;2.36332;0.0385118547641755;2.58888888888889;0.0400963775746188;1.52802564102564;0.0385970154032554;2.61277777777778;0.143225691788058;0.0954457665017383;-0.353441073986747;0.105553957051003;28.01656;0.982085920339713;14.4049166666667;0.968526378662485;16.1544102564103;0.929033401117487;22.9772888888889;1.1876405775348;-0.485842777747637;-0.423397795574822;-0.179867589422509
sunflow;1.91066;0.0273127037876109;3.15951020408163;0.0286504428002098;1.27084;0.0173377062472222;1.8245;0.0285917274026227;0.653622415333777;-0.334868579443752;-0.0450943652978553;10.35292;0.201868452948008;12.674612244898;0.450796538038317;7.22224;0.24592304846516;7.16678;0.231244906457098;0.224254823267055;-0.302395845809685;-0.307752788585249
