Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;387.518;1.57816910697833;381.666;3.21344705771477;381.478;3.57835629977576;382.176;3.6061907242367;-0.0151012340071944;-0.0155863727620396;-0.013785166108413;415.8;37.0881523672079;703.4;1005.46443862906;66;11.9096226878962;152.8;35.9053505049713;0.691678691678692;-0.841269841269841;-0.632515632515633
crypto.aes;130.492;10.4958049459876;130.072;14.0622309784544;127.108;8.40283852301798;130.604;3.30143257011993;-0.00321858811268136;-0.0259326242221748;0.000858290163381623;354.8;116.347295710899;237;19.7888678060818;104.4;6.42793514146398;119.4;17.1286637216115;-0.332018038331454;-0.705749718151071;-0.663472378804961
crypto.rsa;732.656;25.4048711217224;721.586;30.6634192395612;724.17;20.4017807388599;723.87;8.28672822170116;-0.0151094101460988;-0.011582516214977;-0.011991985324627;430.4;46.1057112854739;258;39.52901254111;237.6;368.89500953084;155.8;11.015176368314;-0.400557620817844;-0.447955390334572;-0.638011152416357
crypto.signverify;750.026;12.037615798881;723.714;10.4898953638485;726.146;15.7172853077558;738.064;5.12023903629614;-0.0350814505097158;-0.0318388962515968;-0.0159487804422781;413;52.0981262364439;229.4;20.8621723091365;107.2;21.5313273155584;148.2;7.41887744839758;-0.44455205811138;-0.74043583535109;-0.641162227602906
derby;485.938;13.2021275601433;392.6275;20.265363851208;414.525;281.378903882589;465.35;8.4435571262013;-0.192021410138742;-0.146959077083908;-0.042367544830822;681;71.5224330497538;515;56.4080565406164;315.5;133.415149729834;381;51.0141095161611;-0.243759177679882;-0.536710719530103;-0.440528634361233
mpegaudio;262.892;2.84281948407762;261.852;2.10751021499292;253.098;9.60217553967382;261.738;1.95544143747955;-0.00395599713950984;-0.0372548422926524;-0.00438963528749447;1581.2;450.262361095908;164.6;13.4764881651892;89;6.96882190615557;440.4;235.087363511222;-0.89590184669871;-0.943713635213762;-0.721477358967873
scimark.fft.large;119.274;3.47044087945888;119.1;6.52117156208368;119.976;4.5707792000345;119.784;2.8919124883378;-0.00145882589667494;0.00588560792796417;0.00427586900749527;351.6;26.3484494200558;72.8;12.1784389969602;50;4.4768832124213;85.8;6.70958276985331;-0.792946530147895;-0.857792946530148;-0.755972696245734
scimark.fft.small;340.916;1.5271609093314;348.356;28.0318367830405;355.346;29.1594811819868;376.042;1.46630477292718;0.0218235577092306;0.0423271421699187;0.103034178507316;347.2;26.3601494425774;128.6;16.9476901951359;92.4;53.4391759294585;177;98.3974652227081;-0.629608294930876;-0.733870967741936;-0.490207373271889
scimark.lu.large;28.716;1.51497255714063;29.616;0.571812896898148;28.664;1.0109692018636;28.954;0.465632277012821;0.031341412452988;-0.00181083716395052;0.00828806240423443;282;60.6448323035075;87.2;27.9498538415391;55;13.6300551310132;98.5;26.7685167199359;-0.690780141843972;-0.804964539007092;-0.650709219858156
scimark.lu.small;811.522;4.37677665087531;792.066;5.86327492231681;801.354;9.62846423942836;807.012;6.7795218158531;-0.0239747043210164;-0.0125295432532943;-0.00555745870105814;445;121.822362549635;172;20.3648037386347;79;9.85540245344793;159.6;33.2316239401725;-0.613483146067416;-0.82247191011236;-0.641348314606742
scimark.monte_carlo;333.44;15.4096055046567;335.212;7.52215996040388;322.804;2.39059178965996;330.974;13.9785549112323;0.00531429942418441;-0.0318977927063339;-0.00739563339731288;318.4;34.639977738677;119.6;25.3798065122075;86;20.9984435744298;107.8;8.30152443556366;-0.624371859296482;-0.729899497487437;-0.66143216080402
scimark.sor.large;89.39;0.963670459726579;90.694;0.74295720422673;88.24;0.927058305123521;88.624;1.24366766890117;0.0145877614945742;-0.0128649737107061;-0.00856919118469634;301;48.5361994002129;60;3.72499199461129;47.2;14.1952119961521;77.8;7.96989678469782;-0.800664451827243;-0.843189368770764;-0.741528239202658
scimark.sor.small;362.12;0.167739569246321;379.87;32.2194091205;370.514;26.1465865217868;362.336;0.95489531833579;0.0490169004749807;0.0231801612725064;0.000596487352258785;299.2;29.5583845774683;134.6;22.634414233151;75.8;9.39078945082374;102.6;10.7028267618208;-0.550133689839572;-0.746657754010695;-0.657085561497326
scimark.sparse.large;66.536;5.42189756417029;69.622;2.96947780727004;65.296;2.51752695903139;64.304;3.54224346247345;0.0463809065768907;-0.0186365275940841;-0.0335457496693519;291.6;12.4042171275195;91;6.01918955377141;76.6;13.8433007232854;103.2;11.8901889691763;-0.687928669410151;-0.737311385459534;-0.646090534979424
scimark.sparse.small;349.318;28.7194217462284;363.204;14.6255939143727;352.324;20.357755464073;356.272;23.7165354782063;0.0397517448284943;0.0086053395473463;0.0199073623460572;377.2;49.0213601136218;169.6;13.3327195108649;107.6;25.546312664678;156.8;85.4288292116406;-0.550371155885472;-0.71474019088017;-0.584305408271474
serial;208.982;2.0853376269535;204.9;9.50949674493487;207.15;7.57067394978454;209.826;6.70669036219723;-0.0195327827276989;-0.00876630523202939;0.00403862533615333;363.8;54.3956544820295;203.666666666667;128.228195360732;166.75;50.1740188997736;205.8;50.5625643887346;-0.440168590800806;-0.541643760307861;-0.434304562946674
sunflow;102.17;1.5824275745259;94.89;4.04930026946503;93.038;5.86841853540545;102.326;4.85495863027957;-0.0712537926984439;-0.0893804443574437;0.00152686698639514;508;235.382948579869;223.2;39.6490878116498;95.25;9.92656307482659;246.6;17.1301638016355;-0.560629921259843;-0.8125;-0.514566929133858
