Benchmark;Baseline;+-;Use Profiles;+-;Baseline Warmup;+-;Use Profiles Warmup;+-;Deopts. Baseline;+-;Deopts. Use Profiles;+-
compress;384.03375;1.50911122163305;381.0425;1.41967741877204;379.8375;1.51180275708919;356.14375;25.3725166667047;434.625;39.7347682082175;152.625;6.61813227690128
crypto.aes;130.56875;5.38441145876971;115.595;11.4517284355661;131.25875;5.00697536170912;121.4225;4.48676528998052;371;112.507657061543;395.875;65.7830869611659
crypto.rsa;717.85375;5.36467841696462;707.51375;14.3101564294274;703.52625;12.3652514262571;677.2525;24.8593715442662;507.625;57.2571889976306;276.428571428571;9.16328778940882
crypto.signverify;749.235;4.4418467845339;723.8825;12.4892016370924;745.66625;6.54616914457597;717.1625;5.64211873523387;507.625;57.2571889976306;276.428571428571;9.16328778940882
derby;497.1575;6.1764764321641;285.135;131.275062897806;465.2625;5.62792577021222;274.0575;120.556996535755;670.5;33.6368269784778;655.375;78.3469517956594
mpegaudio;264.86625;1.21321421787912;260.245;3.69415446114672;260.99;1.7208758919105;257.30375;2.24147097649549;1557.375;296.260114157687;302;249.343018799102
scimark.fft.large;119.9375;0.898777575713667;119.11875;2.64797321356218;117.39375;1.934671840525;119.9;2.30550720169797;374.5;22.3800637676521;162;37.6571958118298
scimark.fft.small;372.25125;2.28241221524521;337.95125;14.6929036694558;369.79375;2.5473545135175;341.23875;12.7404403056731;363;31.3177243980777;200.875;8.72068502252772
scimark.lu.large;28.785;0.597311450004638;28.95625;0.579189299910742;27.89625;0.62869874438956;27.45125;0.300053820393875;327.5;29.2442346765185;83.5;22.2435736782034
scimark.lu.small;809.98375;3.73246103662723;797.35125;4.81419997394426;805.72;5.65556817816159;804.59625;5.93968287406745;513;77.4432707635743;236.375;16.6255995961313
scimark.monte_carlo;328.86125;8.34050167633062;339.88125;5.44613449692665;322.7;10.3255431970672;334.34125;5.00033637774657;328;35.1057689672066;177.75;19.2033668599827
scimark.sor.large;88.25875;1.38069822745234;88.58375;1.41317802642677;86.34875;2.06921994034682;87.98625;2.17501212340368;327.125;26.3288131870889;153.375;36.6189706499569
scimark.sor.small;362.26875;0.0843551008489223;373.53875;18.8449942331512;379.74875;1.11355141408277;377.57875;20.6807454965002;335.375;29.0438139661023;197.625;16.8374498968213
scimark.sparse.large;66.3975;2.5910624924077;63.3475;2.30079406499185;59.83625;2.86120232382918;59.7975;0.836365211735614;365.75;35.1971379990228;147.375;40.2850401065847
scimark.sparse.small;369.30125;6.62522612015554;361.06;11.3647176524518;382.65375;7.18117292441034;373.1525;13.1431908086505;381.75;38.8778622216376;220.375;21.9225513064401
serial;210.5675;3.99878141744955;147.70125;57.7503726850678;191.78125;7.12471566037174;147.0625;50.8755505309106;414.375;26.1843084752731;296.375;104.017072826509
sunflow;101.3;1.5219517568552;93.12375;3.07810412837308;99.4975;0.919847372992084;92.32375;2.790276298156;448.625;67.3371970060789;343.25;129.994692732593
