Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;383.732;1.70819679986513;381.403;1.99098690731844;380.429;2.22380634734065;380.759;1.71587085410134;-0.0060693400602504;-0.0086075698664693;-0.00774759467545046;427.090909090909;27.8804104782213;443.363636363636;54.3661502680558;251.636363636364;20.2687673165502;274.727272727273;16.0084969012048;0.0381013197105152;-0.410813111962537;-0.356747552149851
crypto.aes;130.229;4.8907310624728;131.196;6.41567357997901;130.411;3.93633034380583;135.381;5.12511990132247;0.0074253814434574;0.00139753818273976;0.0395610808652454;353;56.1493149912741;385.5;67.7382933570922;394.4;73.6614630642129;376;43.8752235662008;0.0920679886685552;0.11728045325779;0.0651558073654391
crypto.rsa;729.687;10.4987161275853;727.296;5.25347297293491;718.338;19.8641275211619;722.535;15.8494135742722;-0.00327674742732184;-0.0155532440621803;-0.00980146281898957;487;50.0590840737077;467.3;35.0160527607863;466.8;39.7505065403693;480.1;28.7598585752701;-0.0404517453798768;-0.0414784394250513;-0.0141683778234086
crypto.signverify;744.227;7.2507907319049;747.544;5.862536136877;746.432;5.2058258664744;746.434;4.30503056594602;0.00445697347717834;0.00296280570309855;0.00296549305521014;404.3;12.8722286297066;405.2;30.777532903158;417.8;20.751653227084;451.3;23.0721548189024;0.00222606975018545;0.0333910462527826;0.116250309176354
derby;483.645;6.63964536714273;484.733;9.43993967741658;490.564;9.39553281221859;482.727;3.99732132139356;0.00224958388900931;0.0143059475441695;-0.0018980864063519;666.1;39.952610260881;698;28.1191787133196;606.7;24.1486380832843;638.6;31.9226989556752;0.0478907071010358;-0.0891757994295151;-0.0412850923284792
mpegaudio;263.296;2.33586200307572;262.558;1.57422157260669;261.376;1.61433159436035;262.184;1.95272839914759;-0.00280292902284881;-0.00729217306757398;-0.00422338356830323;2094.6;569.263029199915;1554.2;342.356359434112;1831.4;513.180843690098;1927.2;570.403904246528;-0.257996753556765;-0.125656449918839;-0.0799197937553709
scimark.fft.large;118.774;2.73863937747839;119.179;1.32209899804388;119.296;2.14874289942394;119.482;2.04335341572228;0.00340983716975108;0.00439490124101239;0.00596090053378684;356.1;34.3329086340765;332.3;30.5201248402581;341;16.7766065283167;352.6;16.784061141672;-0.0668351586632969;-0.0424038191519237;-0.009828699803426
scimark.fft.small;348.001;10.5863484706825;344.083;8.76272145667233;346.914;11.5528066818775;344.587;7.65824458747825;-0.01125858833739;-0.00312355424266035;-0.00981031663702128;333.2;15.9239011440932;359;24.9202620881781;346.6;25.5916093385504;356.1;25.6232504631288;0.0774309723889556;0.0402160864345739;0.0687274909963987
scimark.lu.large;28.244;0.47325663878911;28.35;0.609085786910854;28.68;0.380493968054788;28.725;0.514142645559886;0.00375300948874103;0.0154369069536893;0.0170301656989096;311.9;30.719561209995;295.8;31.0332639710225;293.4;29.3464944365428;306.9;34.1569085428858;-0.0516191086886822;-0.059313882654697;-0.0160307790958641
scimark.lu.small;811.729;4.30049827339599;812.46;3.76408873564952;808.43;6.3435080069396;810.288;6.52427791760126;0.000900546857386986;-0.00406416427157337;-0.00177522301162063;432;36.0323442258226;416.7;31.8564600629223;428;46.9829705488622;431.1;39.4484724473515;-0.0354166666666667;-0.00925925925925926;-0.00208333333333328
scimark.monte_carlo;335.688;14.1893894140919;333.414;7.31511207530745;321.191;11.1871667877111;325.787;4.56447418239764;-0.00677414742260654;-0.0431859345582802;-0.0294946497938561;316.6;15.2914685080999;288.9;28.9627782219933;287.8;19.7492639970582;302.3;34.6536914743887;-0.0874921036007582;-0.0909665192672142;-0.0451674036639293
scimark.sor.large;88.372;1.19170244668008;87.844;1.48698748454604;88.085;1.25766014928521;88.865;1.06354672052014;-0.00597474313130847;-0.00324763499751027;0.00557869008283177;300.4;26.2626823217952;272.9;26.741657570734;286.3;19.5648624358602;279.5;28.0954091134829;-0.0915446071904128;-0.0469374167776297;-0.0695739014647137
scimark.sor.small;362.223;0.0932131978025517;362.223;0.0845783289963665;362.298;0.148905778083051;362.182;0.0697488268557874;0;0.00020705477012792;-0.000113189941003342;295.1;26.1960230467448;287.7;16.6098760237455;296.8;20.9832606310912;305.5;15.5094847149261;-0.0250762453405626;0.00576075906472378;0.0352422907488986
scimark.sparse.large;66.412;2.86098804304115;67.928;1.31642862332459;67.443;2.61261045713709;68.634;1.79479105139299;0.0228271999036317;0.0155243028368368;0.0334578088297293;303.2;13.5930361676223;276.6;23.9195116184383;262.8;20.7927125855883;301.4;24.8841857880308;-0.087730870712401;-0.133245382585752;-0.00593667546174146
scimark.sparse.small;354.219;10.8051757635927;350.849;10.985831365313;351.176;11.8799345281518;357.393;12.4504891591936;-0.00951388830074036;-0.0085907305932206;0.00896055829867957;359.9;14.8318481924948;329.6;24.7742646773237;363;16.4411089815246;371.3;34.1412571912776;-0.0841900527924422;0.00861350375104202;0.0316754654070576
serial;210.621;4.42593610256947;212.239;3.41523712217878;206.146;5.9075201439614;207.242;3.62583140453797;0.00768204500026097;-0.0212466942992389;-0.0160430346451686;395.4;18.8790384244986;291.1;23.8479126365409;240.4;10.797440412673;240.7;12.3702518263832;-0.263783510369246;-0.392008093070308;-0.391249367728882
sunflow;102.575;1.41371952928396;102.913;1.49966233823736;102.99;1.15048726031733;102.687;1.27945181809851;0.00329514989032395;0.00404582013161108;0.00109188398732616;377.5;53.6250016238525;248.6;51.0191812015566;244.6;50.3831149918725;261.4;104.759969291092;-0.341456953642384;-0.35205298013245;-0.307549668874172
