Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
sunflow;72.4952;0.800477826373013;75.919;1.23773219077126;73.078;0.745616691407646;75.471;0.810988247355983;0.0472279544024984;0.00803915293702212;0.0410482349176222;334.6;23.4435601518072;171.2;6.29527095889793;71.64;3.0069771627185;70.76;5.21129936007746;-0.488344291691572;-0.785893604303646;-0.788523610280933
serial;109.1736;3.13922078871102;124.8068;4.28820855980528;126.2726;3.45215360467803;125.5208;3.28348644662108;0.143195790923813;0.156622113771095;0.149735833571487;312.6;7.01750052380459;197.64;4.23686188793726;148.92;3.93746156841782;123.16;5.12717703234621;-0.367754318618042;-0.523608445297505;-0.606014075495841
mpegaudio;152.4102;2.64887035904798;146.7216;3.70109746418905;157.3592;3.90407268270093;143.7604;4.4905082062824;-0.0373242735722411;0.0324715799861165;-0.0567534193905659;1685.14;137.68397757739;131.58;3.33712007965787;81.02;2.26011540286278;184.94;29.5992394231566;-0.921917466798011;-0.95192090864854;-0.890252441933608
derby;231.5868;4.06826689765015;221.105;5.07259302002459;244.5856;7.21195804617314;249.5774;5.50717388593044;-0.0452607834297992;0.0561292785253731;0.0776840476227483;562.22;18.8103717049727;507.5;7.90310692900969;279.9375;5.85796023897794;268.46;6.29913773182162;-0.0973284479385294;-0.502085482551314;-0.522500088933158
crypto.signverify;529.6048;5.07449366814712;504.1448;4.62857899889965;494.9286;4.9062666196458;504.0632;3.79726543415509;-0.0480735824146611;-0.065475615024637;-0.04822765956804;272.56;11.4676534152148;187.32;4.85684672935619;76.94;3.46093489541869;97.42;4.00933257585558;-0.312738479600822;-0.717713530965659;-0.642574112122101
crypto.rsa;469.1228;5.17309286414728;495.082;9.08460033612478;557.6446;10.0356923675041;527.3966;7.69184458561094;0.0553356178808617;0.188696435133828;0.124218648081056;330.48;10.2311254640121;233.18;12.5555303839846;84.24;3.20379593333808;105.38;7.81072260660598;-0.294420237230695;-0.745098039215686;-0.681130476882111
crypto.aes;116.7974;2.09282991978302;121.3352;1.48216246185087;115.652;1.92145617145245;116.4732;1.15682041190092;0.0388518922510261;-0.00980672514970363;-0.00277574672038949;305.52;23.1548631432837;180.22;5.02788679178198;75.44;3.45986313233182;63.68;3.44615339055782;-0.410120450379681;-0.753076721654884;-0.791568473422362
compress;261.1328;3.09795350675513;330.0642;4.46710346811777;336.0072;3.86973135632702;319.6572;3.36647528920295;0.263970669329935;0.286729204450762;0.224117383951767;312.46;9.95346820859476;103.36;8.19764349531267;55;1.89995487247867;106.92;5.14921399271465;-0.669205658324265;-0.823977469116047;-0.657812199961595
scimark.sparse.small;317.3556;4.92401816907146;351.0396;1.60900429613282;321.5424;2.03451155108313;322.1472;2.16809888512404;0.106139611212155;0.0131927717676957;0.0150985203979385;287.14;11.8496464368296;145;4.34054580424793;94.34;2.53323629176621;114.04;5.11971764963722;-0.49501985094379;-0.671449467158877;-0.602841819321585
scimark.sparse.large;60.3452;3.96126412159263;50.6796;2.5426146681009;50.6738;2.79109016282788;49.712;2.64639463626583;-0.160171811511106;-0.160267925203662;-0.176206226841572;254.38;8.8620347545614;86.28;2.67774890441099;62.74;1.96462396660457;90.14;3.27274185127887;-0.66082239169746;-0.75336111329507;-0.645648242786383
scimark.sor.small;368.7886;2.1497130525318;367.6442;1.84813990042556;374.2882;1.00900391493853;375.2302;0.867387048254161;-0.00310313279748891;0.0149126084700016;0.0174669173613282;233.56;9.60300137116312;106.02;2.01570943344318;51.6;2.19988133005484;68.86;1.68281097590325;-0.546069532454187;-0.779071758862819;-0.705172118513444
scimark.sor.large;82.4366;0.22200761724449;75.0304;4.47920578581497;72.635;4.84774227337012;71.5256;4.93620415406541;-0.0898411627844915;-0.118898644534103;-0.132356259234369;235.14;9.38824735716127;77.76;3.2573695403659;58.9;2.65003440992727;84.78;3.04160280839954;-0.669303393722888;-0.749510929658926;-0.639448838989538
scimark.monte_carlo;208.4764;3.45058611956467;235.7574;8.28722577098437;257.2124;5.07738256634513;246.8864;3.53828053808327;0.130858936551092;0.233772263910927;0.184241477692438;224.52;7.45623544499188;128.34;4.13502388688772;71.88;3.80322237757244;79.64;6.09149144101194;-0.428380545163014;-0.679850347407803;-0.645287724924283
