Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
sunflow;39.3452;0.361704057025289;38.6048;0.345341239527858;38.1356;0.455534616486898;38.6648;0.38665961782896;-0.0188180515031059;-0.0307432672854631;-0.0172930878480731;331.14;27.9866700721103;159.3;3.97227756002951;59.82;2.50252021578922;79.68;8.1215678028105;-0.518934589599565;-0.819351331763001;-0.759376698677297
mpegaudio;152.3038;2.39117201694658;153.9644;3.87005055742145;139.2022;7.09038478311758;145.8636;5.82583238811468;0.0109032079304654;-0.0860228044211636;-0.0422852220364822;1709.32;143.578248525934;151.46;43.7956524595163;87.5;9.36948442553865;698.94;239.057997681928;-0.911391664521564;-0.948810053120539;-0.59110055460651
derby;218.799;3.72028507945261;194.4804;8.30086387821935;228.4624;7.00259676244309;239.9648;5.61529829404246;-0.111145846187597;0.0441656497515989;0.0967362739317822;557.04;19.993781262258;449.98;9.30332128611813;281.183673469388;6.94321191292687;284.16;5.48811025969713;-0.192194456412466;-0.495218164818706;-0.489875053856096
crypto.signverify;244.005;8.83430924088952;223.4002;8.64978586090162;237.690816326531;9.4674760996745;246.7358;9.88525156151087;-0.0844441712259994;-0.0258772716684877;0.0111915739431572;261.06;9.11555486340371;150.08;5.16264117664402;83.7551020408163;3.93770649826265;96;4.00271216212407;-0.425113000842718;-0.679172979235362;-0.632268444035854
crypto.rsa;435.8258;4.76083392633961;438.9988;10.7900980688112;487.9358;12.1908700243247;467.8192;9.26712632031894;0.00728043176884028;0.1195661202251;0.0734086875994952;380.76;16.1010427201303;249.02;16.5039535989431;100.96;7.09062989174515;113.9;8.02049237936942;-0.345992226074167;-0.734846097279126;-0.700861435024688
crypto.aes;103.56;1.52507585358968;96.7878;1.42175908730593;97.7182;1.26832680719148;98.5184;0.772108111543086;-0.0653939745075313;-0.0564098107377361;-0.0486828891463882;288.78;19.2470382513186;155.52;5.52220756477048;72.48;3.55576048462285;79.6122448979592;3.88819527910847;-0.461458549761064;-0.749013089549138;-0.724315240328419
compress;259.9664;3.1343429987883;282.792;16.142856020069;300.1964;4.77627819811959;322.7272;1.8134600072124;0.0878021159657558;0.15475076779153;0.24141889105669;336.22;11.9513506630926;215.34;37.3319706644529;65.48;7.49812042783091;113.56;6.12452264054802;-0.359526500505621;-0.805246564749271;-0.662244958658022
scimark.sparse.small;325.0408;4.13458596785743;351.228;1.87742525121875;321.1796;1.93197431722611;321.3836;3.04322283097165;0.0805658858826337;-0.0118791240976519;-0.0112515105795947;296.3;8.84478708667067;135.26;3.30272292488742;91.58;2.72597489794222;111.08;5.35108856164528;-0.543503206209922;-0.690921363482957;-0.625109686128923
scimark.sparse.large;58.406;3.83759947203413;49.8352;2.47300807036186;48.1388;1.69472675922445;48.396;1.78425265837392;-0.146745197411225;-0.175790158545355;-0.171386501386843;263.58;7.91641061838629;108.6;3.30531213605547;77.78;2.46107632036158;108.62;3.5874430230798;-0.587980878670612;-0.704909325441991;-0.587905000379391
scimark.sor.small;368.9488;2.03412368673147;372.2162;2.61628198295857;367.5194;1.22560426903448;373.8038;0.894547305376879;0.00885597134344992;-0.00387425030248065;0.0131590074286729;232.6;9.15391581038612;97.68;3.18101561057472;58.18;2.59690544676309;62.38;1.88330284138531;-0.580051590713672;-0.749871023215821;-0.731814273430782
scimark.sor.large;81.288;1.90203223538741;71.1676;5.01075950302228;72.0482;4.94398347707515;70.0988;5.13107726012265;-0.124500541285307;-0.113667453990749;-0.137648853459306;241.2;9.60915121978823;68.12;3.54154701004228;52.46;2.78052686072553;87.76;3.58729139467623;-0.717578772802653;-0.782504145936982;-0.636152570480929
scimark.monte_carlo;204.805;4.38211586640935;235.3288;6.13876084372595;263.1158;4.61476454785951;241.6904;5.13273863173411;0.149038353555821;0.284713752105661;0.180100095212519;227.38;8.33209022698662;112.96;3.86824883953407;65.64;3.44439276652894;72.9;3.543226794912;-0.503210484651245;-0.711320256838772;-0.679391327293518
scimark.lu.small;577.5316;7.88305895551491;579.929;4.50577806689454;569.6878;5.76451381222061;581.7786;7.26741188043823;0.00415111484808768;-0.0135815944963009;0.00735371016927937;284.74;14.4626530131769;156.28;4.18590622511953;56.68;3.267413911003;93.2;5.5519050692449;-0.451148416098897;-0.800941209524478;-0.672683851935099
scimark.lu.large;30.8982;0.332894377104031;27.5648979591837;0.786899135702854;27.1268;0.712788089698988;28.0018;0.722372164269139;-0.107880136733413;-0.122058890161887;-0.0937400884193906;268.26;8.5285751507521;59.5531914893617;2.83862675776315;38.98;1.55712906891603;83.14;2.83384282823975;-0.778001970143288;-0.854693208081712;-0.690076791172743
scimark.fft.small;270.1864;1.22254972311752;272.6614;1.2997267564586;272.802857142857;2.2411397092559;271.6246;1.14791483353404;0.00916034263752736;0.00968389653534449;0.00532299183082513;252.1;7.85918591530325;113.98;5.57515952459634;58.7;4.0081648202389;95.86;5.28481094802052;-0.547877826259421;-0.767155890519635;-0.619754065846886
scimark.fft.large;84.6704;0.714502486826557;86.7658;0.728657114358586;85.974;0.784109037116093;85.6702;0.64795114811622;0.024747727659253;0.0153961715073981;0.0118081407434002;291.46;8.11203205239613;80.48;4.25588652062986;55.3;3.2174983903931;85.36;4.12470656155607;-0.723872915665957;-0.810265559596514;-0.707129623275921
