Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-
compress;261.1328;3.09795350675513;330.0642;4.46710346811777;336.0072;3.86973135632702;319.6572;3.36647528920295;312.46;9.95346820859476;103.36;8.19764349531267;55;1.89995487247867;106.92;5.14921399271465
crypto.aes;116.7974;2.09282991978302;114.7114;1.68720635324573;116.567;1.92906314314735;106.92;5.14921399271465;305.52;23.1548631432837;213.76;7.75643978250051;82.06;4.28374708566299;78.3;4.5685770894279
crypto.rsa;469.1228;5.17309286414728;514.3886;4.99810191746972;537.6056;9.93064277162288;513.323;15.2629294098979;330.48;10.2311254640121;237.52;5.54068303599641;88.5918367346939;6.21683088745472;101.84;7.14375833119369
crypto.signverify;529.6048;5.07449366814712;468.2992;7.36670843915637;492.7266;5.80295276573278;506.064;3.98403385648243;272.56;11.4676534152148;175.3;5.88406419567761;87.12;3.44863969644587;91.18;3.43189422062773
derby;231.5868;4.06826689765015;222.6232;9.84904291523425;232.1774;11.3556707497842;236.5588;11.4435582089573;562.22;18.8103717049727;498.74;8.78524184770126;290.22;9.76725797242526;278.94;6.3531253279614
mpegaudio;152.4102;2.64887035904798;146.7216;3.70109746418905;157.3592;3.90407268270093;143.7604;4.4905082062824;1685.14;137.68397757739;131.58;3.33712007965787;81.02;2.26011540286278;184.94;29.5992394231566
scimark.fft.large;85.468;0.915241392350988;87.856;0.57345568439395;86.4932;0.756000797903043;89.654;0.690039978798726;273.46;9.42647955628709;80.04;3.78075782533503;61.26;3.41606560045952;84.04;4.19295681358548
scimark.fft.small;298.756;2.09632760160344;301.669;0.968127297381557;300.2858;3.19108006753215;300.8404;2.37042840379422;254.52;9.98769413918119;127.12;5.57786411139476;63.94;4.62885091460301;109.1;5.23631909447695
scimark.lu.large;30.9492;0.199806588150831;29.5458;0.74096017484364;28.7824;0.77244175688343;28.4084;0.738419861649981;266.24;10.8851567591415;46.68;1.63252606086639;36.58;1.31819182689015;83.22;2.12075048060484
scimark.lu.small;590.5928;5.78414836886964;622.4356;5.68690642809831;523.6714;7.52735388598632;602.7852;7.613417318676;275.8;15.4039853468842;153.76;6.12463029360993;58.76;3.2202175529002;93.16;4.63310432883219
scimark.monte_carlo;208.4764;3.45058611956467;232.6852;4.53047366483726;249.8036;5.16751448452109;248.1876;4.5030298623604;224.52;7.45623544499188;122.74;4.06798989889867;65.22;3.63373464282981;76.92;3.86521370141104
scimark.sor.large;82.4366;0.22200761724449;74.2026;4.47898008352283;65.9628;5.38745740668894;64.8884;5.38994365105848;235.14;9.38824735716127;59.18;3.03259349453051;60.06;3.15707390650029;81.56;3.51375449596725
scimark.sor.small;368.7886;2.1497130525318;349.7866;3.44945384013815;374.2502;0.866776256471398;374.2698;0.997258938452814;233.56;9.60300137116312;116.38;2.93773030420404;52.26;1.30274589492031;67.08;1.94779703475758
scimark.sparse.large;60.3452;3.96126412159263;50.8774;2.91243541460502;48.6626;2.07232577909845;47.6208;2.18991047786382;254.38;8.8620347545614;97.18;2.07788009090276;79.76;1.8315392897958;106.52;3.47653552734751
scimark.sparse.small;317.3556;4.92401816907146;347.6646;1.55115579176274;328.3762;1.50467389538782;316.3026;2.40805521075772;287.14;11.8496464368296;139.28;3.12539550598368;89.38;2.76309101040331;108.32;4.67421977565928
serial;109.1736;3.13922078871102;124.8068;4.28820855980528;126.2726;3.45215360467803;65.865;6.93046797659304;312.6;7.01750052380459;197.64;4.23686188793726;148.92;3.93746156841782;288.48;23.4069907858432
sunflow;72.4952;0.800477826373013;74.9478;1.10241160074888;72.619;1.11084321766088;72.986;1.08005259729813;334.6;23.4435601518072;198.38;17.189896868038;66.52;2.1714042630968;80.36;7.96848284114918
