Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;257.7796;2.98748560346802;296.3566;18.0020520793026;344.494081632653;3.84157602813629;336.7206;2.02000953833373;0.149651097293967;0.336390007714548;0.306234473170104;328.22;9.7520577349395;201.26;39.0793320709063;39.96;1.24072652324736;110.08;4.85154949047318;-0.386813722503199;-0.878252391688502;-0.66461519712388
crypto.aes;116.7974;2.09282991978302;101.2228;1.42613919470905;115.6538;1.7919535073279;115.4282;1.17003209836022;-0.133347146426204;-0.00979131384773958;-0.0117228636938833;305.52;23.1548631432837;260.530612244898;7.70574608532551;66.54;2.98963249292437;74.16;4.10772764239702;-0.147255131431991;-0.782207384131972;-0.757266300078555
crypto.rsa;458.5054;5.40948110590607;475.2754;10.0874468778924;562.402;8.3433073373906;540.2284;6.7097869368757;0.036575359853996;0.226598421741598;0.178237813556831;333.04;14.4675700274674;234.68;5.17781655896196;73.14;2.81926391084061;93.12;3.79454444068187;-0.295339899111218;-0.780386740331492;-0.720393946673072
crypto.signverify;523.0966;4.63186222352948;487.3446;7.79980495383238;538.3806;5.63415173419568;525.7242;4.80901376018119;-0.0683468407173737;0.0292183126405337;0.00502316398156653;271.86;9.44426362902768;213.9;6.31613410944183;70.34;4.15530402552872;97.7708333333333;4.56341617691776;-0.213197969543147;-0.741263885823586;-0.64036329973761
derby;231.5868;4.06826689765015;223.1692;4.94419952048143;235.242;6.03245949428135;252.3174;5.60710234331069;-0.0363474947622238;0.0157832829850401;0.0895154646119721;542.82;9.96910209560483;568.06;5.77410973404109;291.18;6.12735597692836;280.16;5.25238320096718;0.0464979182786189;-0.463579086990163;-0.483880476032571
mpegaudio;152.4696;2.74432812698207;143.2712;3.50180516907212;147.2084;3.76717267373547;154.798;4.08433728799496;-0.0603294033695897;-0.0345065508140637;0.015271240955574;1704.02;167.304059134332;171.08;3.75972007972494;89.62;15.8435958729219;437.30612244898;133.64195863614;-0.899602117346041;-0.947406720578397;-0.74336796372755
serial;106.9884;2.82276547633904;113.5098;4.05967243449315;120.6568;4.1430847736608;120.0498;3.97721411697224;0.0609542716780512;0.127755906247781;0.12208239397916;292.1;7.54305346405195;254;5.24887583208629;134.88;3.88766509896428;139.48;4.49990819136632;-0.130434782608696;-0.53824032865457;-0.522492297158507
sunflow;72.215;0.76190728117352;73.424;1.78685094277486;75.7776;0.908040255177278;77.2916;1.04769520186096;0.0167416741674172;0.0493332410164096;0.0702984144568307;334.74;23.5487061248229;223.86;9.28811411184771;52.92;2.48410865506113;62.68;5.51133605746959;-0.331242158092848;-0.841907151819322;-0.812750194180558
scimark.fft.large;86.1924;0.98130005518752;87.1572;0.932834390966114;87.644;0.731433556456337;87.0426;0.705051805947748;0.0111935623094378;0.0168413920484869;0.00986397872666285;275.26;9.4705464398523;105.66;4.55606198029681;43.88;1.50343376373063;74.14;2.76912152133062;-0.616144735886071;-0.840587081304948;-0.730654653781879
scimark.fft.small;299.3234;1.63489643507258;293.822;2.56582210121834;277.6876;2.45788014350183;270.732;5.19752750329828;-0.018379451790271;-0.072282354136028;-0.0955200963239089;260.46;8.47397535359505;158.84;14.0765569033868;161.68;9.1251389940468;233.68;27.105388791933;-0.39015587806189;-0.379252092451816;-0.102818091069646
