Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;255.14;4.15493704120666;345.0436;2.14768590254379;343.7634;5.39153347672651;339.2234;1.62408988154461;0.352369679391706;0.347352042016148;0.329557889786;343.02;8.90833896381424;96.936170212766;4.31014384044229;42.52;1.63131399888263;111.12;3.980677777256;-0.717403736771133;-0.876042213282024;-0.676053874409655
crypto.aes;102.4628;1.48320489593438;93.3238;0.892117255407014;99.5752;1.53395443044788;95.3132;0.831333564704664;-0.0891933462681086;-0.0281819352974929;-0.0697775192557685;298.06;19.3255064367106;164.7;4.4789420009932;58.38;2.12277033220982;67.2244897959184;3.12965143006046;-0.447426692612226;-0.804133395960545;-0.774459874535602
crypto.rsa;443.0878;4.52621536044326;479.741224489796;5.40932342536396;518.172;10.3058908299083;497.6686;8.07897470448017;0.0827227120444204;0.169456708128727;0.12318280936645;378.02;16.4634547511046;197.875;3.76534933354904;77.88;3.31310245488799;92.16;2.68593569054665;-0.476548859848685;-0.793979154542088;-0.756203375482779
crypto.signverify;238.2578;7.92787348736427;236.8686;9.5010078477078;237.318;8.36600407971907;235.39;7.16165138743882;-0.00583065905922091;-0.0039444668757962;-0.012036541930632;268.68;10.2963598563383;127.22;3.2653196750957;64.52;1.68499385860521;80.22;2.1230809080507;-0.526499925562007;-0.759863034092601;-0.701429209468513
derby;218.6026;3.70280193268221;213.921;4.13592883582464;238.4324;5.05280657027505;239.3364;4.20636276340629;-0.0214160307333948;0.090711638379416;0.0948469963303277;569.52;23.3116553929588;436.266666666667;5.37713735817976;251.809523809524;7.86128864174806;256.632653061225;5.34371918859186;-0.233974809196048;-0.557856574291467;-0.549387812436395
mpegaudio;150.2788;2.63181718572421;132.2216;2.9195635982394;148.4576;4.23091807091753;150.7596;2.86748105555924;-0.120157999664623;-0.0121188085079194;0.00319938673984688;1658.18;146.331670518799;136.94;2.89165152443642;72.5;1.86779997281426;144.166666666667;19.2630289870049;-0.917415479622236;-0.956277364339215;-0.913057287709014
scimark.fft.large;84.9718;0.767080071498617;85.6538;0.896011921953967;86.5642;0.686847954183532;85.2562000000001;0.749307115325375;0.00802619221906548;0.0187403350287981;0.00334699276701284;290.62;7.73459057398309;70.8979591836735;3.46234825664791;46.2040816326531;2.61943468116821;75.5625;2.30505448472174;-0.756045835855504;-0.841015478519534;-0.739995526804762
scimark.fft.small;270.2256;1.09337735968111;277.3688;0.982469474852922;268.5932;1.60820488097324;270.8204;0.919937078538097;0.0264342090460715;-0.00604087843638804;0.00220112380174224;256.2;9.29295249460078;100.714285714286;3.99984087761192;49.56;1.39837018093745;102.54;3.64230696353943;-0.60689193710271;-0.80655737704918;-0.599765807962529
scimark.lu.large;31.0668;0.1927426547773;28.0648;1.10621703233638;27.4166;0.753768379896146;28.8306;0.736504814221718;-0.0966304865644351;-0.117495203883246;-0.071980377766619;260.1;9.98274349930257;77.22;5.23444262961954;60.9;5.98296062229305;100.24;6.03625623178701;-0.703114186851211;-0.765859284890427;-0.614609765474817
scimark.lu.small;583.783;4.98025169991677;545.005;11.6780512767928;559.0524;3.36645964650317;567.4238;3.6571119338799;-0.0664253669599831;-0.0423626587276433;-0.0280227413268284;284.7;14.3772003781134;146.26;4.7920576971447;48.4;2.14602328177553;89.875;4.41044235229004;-0.486266245170355;-0.829996487530734;-0.684316824727784
