Benchmark;Baseline;+-;Mode0;+-;Mode1;+-;Mode2;+-;Mode0Gain;Mode1Gain;Mode2Gain;Deopts. Baseline;+-;Deopts. Mode0;+-;Deopts. Mode 1;+-;Deopts. Mode 2;+-;Mode0DeoptGain;Mode1DeoptGain;Mode2DeoptGain
compress;257.7796;2.98748560346802;335.999;2.80295536491605;344.494081632653;3.84157602813629;336.7206;2.02000953833373;0.303435182613364;0.336390007714548;0.306234473170104;328.22;9.7520577349395;97.1;3.87348226751788;39.96;1.24072652324736;110.08;4.85154949047318;-0.704161842666504;-0.878252391688502;-0.66461519712388
crypto.aes;116.7974;2.09282991978302;113.502;1.61399540181979;114.6326;1.66026866072888;115.4282;1.17003209836022;-0.0282146691621564;-0.0185346591619334;-0.0117228636938833;305.52;23.1548631432837;72.78;4.23377208020233;49.28;2.43261450231444;74.16;4.10772764239702;-0.761783189316575;-0.838701230688662;-0.757266300078555
crypto.rsa;458.5054;5.40948110590607;485.713;26.2924545959412;562.402;8.3433073373906;540.2284;6.7097869368757;0.0593397591391507;0.226598421741598;0.178237813556831;333.04;14.4675700274674;186.14;19.5167754207118;73.14;2.81926391084061;93.12;3.79454444068187;-0.441088157578669;-0.780386740331492;-0.720393946673072
crypto.signverify;523.0966;4.63186222352948;525.817;5.66721485130382;538.3806;5.63415173419568;525.7242;4.80901376018119;0.00520056907271055;0.0292183126405335;0.00502316398156632;271.86;9.44426362902768;92.46;4.34138497126783;62.4;2.88456879774274;82.88;3.84288849456694;-0.659898477157361;-0.770470094901788;-0.695137202972118
derby;231.5868;4.06826689765015;228.3046;5.22440005165608;235.242;6.03245949428135;252.3174;5.60710234331069;-0.014172655781763;0.0157832829850404;0.0895154646119721;542.82;9.96910209560483;459.94;8.55011695315171;291.18;6.12735597692836;280.16;5.25238320096718;-0.152684131019491;-0.463579086990163;-0.483880476032571
mpegaudio;152.4696;2.74432812698207;141.7148;4.72131431539;147.2084;3.76717267373547;154.798;4.08433728799496;-0.070537339902512;-0.0345065508140637;0.015271240955574;1704.02;167.304059134332;98.24;3.2202175529002;89.62;15.8435958729219;437.30612244898;133.64195863614;-0.942348094505933;-0.947406720578397;-0.74336796372755
scimark.fft.large;86.1924;0.98130005518752;87.2122;0.868542592665884;87.644;0.731433556456337;87.0426;0.705051805947748;0.0118316696135616;0.0168413920484867;0.00986397872666269;275.26;9.4705464398523;54.5;2.87612788397081;43.88;1.50343376373063;74.14;2.76912152133062;-0.802005376734723;-0.840587081304948;-0.730654653781879
scimark.fft.small;299.3234;1.63489643507258;297.434;1.80037901136513;294.3526;2.48925866817559;298.0292;2.98660113263899;-0.00631223619670199;-0.0166067871740062;-0.00432375150088496;260.46;8.47397535359505;51.46;4.10445595794036;44.6122448979592;8.10720925975808;105.56;9.87865746827965;-0.802426476234355;-0.828717481002998;-0.594717039084696
scimark.lu.large;30.5432;0.478935484509284;29.0348;0.911360036566713;29.066;0.764177596332421;28.44;0.71055036770892;-0.0493857879986384;-0.0483642840304881;-0.0688598444170877;260.3;11.300868734329;51.24;3.84156716832694;46.78;3.56411799793722;91.04;3.28076526827604;-0.80315021129466;-0.820284287360738;-0.650249711870918
scimark.lu.small;588.076;9.2856568838291;568.6982;13.3847017632744;579.8868;12.5188570794077;590.1906;4.4882024781913;-0.0329511831804054;-0.0139254110012992;0.00359579374094504;300.84;18.8431223644184;50.8125;4.26698117480159;41.88;1.97034601770711;86.18;3.54761560323474;-0.831097925807738;-0.860789788591942;-0.713535434117803
